user,password,maestro Calificado,rating
student1,password1,maestro5,3
student2,password2,user8,4
student3,password3,user10,9
student4,password4,user10,3
student5,password5,usuario4,7
student6,password6,maestro3,4
student7,password7,admin2,8
student8,password8,admin7,4
student9,password9,user8,2
student10,password10,profesora6,9
student11,password11,user9,7
student12,password12,user8,7
student13,password13,user10,3
student14,password14,user10,8
student15,password15,maestro5,5
student16,password16,maestro3,2
student17,password17,user9,7
student18,password18,admin7,5
student19,password19,maestro322,10
student20,password20,profesora1,4
anastasio,123,,
