user,password,escuela,rating
padre1,password1,Escuela Barrio Norte,7.0
padre2,password2,Escuela de Chuisamayac,7.5
padre3,password3,EORM FRANCISCA MERIDA DE CHAVEZ,8.5
padre4,password4,Escuela de La Reforma,8.0
padre5,password5,Escuela Oficial Urbana Mixta Pablo Jimenez Cruz,8.2
padre6,password6,Escuela Oficial Urbana Mixta Estados Unidos de America,6.3
padre7,password7,Escuela Barrio Norte,8.3
padre8,password8,Escuela de Chuisamayac,7.5
padre9,password9,EORM FRANCISCA MERIDA DE CHAVEZ,8.5
padre10,password10,Escuela de La Reforma,8.0
padre11,password11,Escuela Barrio Norte,7.8
padre12,password12,Escuela de Chuisamayac,6.7
padre13,password13,EORM FRANCISCA MERIDA DE CHAVEZ,9.0
padre14,password14,Escuela de La Reforma,7.2
padre15,password15,Escuela Oficial Urbana Mixta Pablo Jimenez Cruz,8.9
padre16,password16,Escuela Oficial Urbana Mixta Estados Unidos de America,6.8
padre17,password17,Escuela Barrio Norte,8.1
padre18,password18,Escuela de Chuisamayac,7.2
padre19,password19,EORM FRANCISCA MERIDA DE CHAVEZ,8.8
padre20,password20,Escuela de La Reforma,8.4
